title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution4.description,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,Available as bulk data download,Can be open,What is required to open,Estimate date of release
Divorces,Divorce statistics measure the number of dissolutions of marriage and civil unions that have orders granted in New Zealand.  Unless otherwise stated divorce statistics refer to orders for dissolution of both marriage and civil union granted in New Zealand.,,https://creativecommons.org/licenses/by/4.0,"Population and migration, Divorce, Dissolution, Marital status, Marriage separation, Vital statistics",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Marriages%20civil%20unions%20and%20divorces%20statistics%2CInformation%20releases,Annual,Population and society,1953/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f874d0c9-f454-4992-93dd-7294f4618854,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Marriages-civil-unions-and-divorces/Marriages-civil-unions-and-divorces-Year-ended-December-2017/Download-data/marriages-civil-unions-and-divorces-december-2017-zipped-csv-tables.zip,December 2017 dataset,,ZIP,2KB,www.stats.govt.nz/infoshare,Infoshare data tool,"Select Subject category: Population, and select Groups: Marriage and Divorce Rates and Marriages Civil Unions and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Dwelling and Household Estimates,"This provide estimates of all private dwellings in New Zealand at a given date, and estimates of all households usually living in New Zealand at a given date.",,https://creativecommons.org/licenses/by/4.0,"Population, Households, Dwellings",01-07-1992,05-10-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/information-releases/?filters=Dwelling%20and%20household%20estimates,Quarterly,Population and society,07-1992/10-2018,,,,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,Select Subject category: Population and Group: Demography dwelling and household estimates,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/25baddf1-766b-423a-8a5a-c8f9de8a1d57,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Economic Survey of Manufacturing,The purpose of the Economic Survey of Manufacturing is to collect statistics from a cross section of New Zealand businesses involved in manufacturing. The financial data collected by this survey is used to produce a range of economic indicators. These statistics help government and other organisations in planning and decision making,,https://creativecommons.org/licenses/by/4.0,"Economy, Industries, Manufacturing and production",,10-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Economic%20survey%20of%20manufacturing%2CInformation%20releases,Quarterly,"Commerce, trade and industry",1977/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/8b4c8a22-aec1-4b11-bdab-95f96d7dedd9,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Economic-survey-of-manufacturing/Economic-survey-of-manufacturing-September-2018-quarter/Download-data/economic-survey-of-manufacturing-september-2018-quarter-csv.zip,September 2018 dataset,,ZIP,205KB,www.stats.govt.nz/infoshare,Infoshare data tool,"Select Subject category: Industry sectors, and select Group: Manufacturing survey (ANZSIC06)- MFG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Economy Wide Census 1987 Study Series,"The Economy Wide Census 1987  covered most industrial activity, and provided the first comprehensive single year profile of the New Zealand economy.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Irregular,,1986/1986,,https://www.stats.govt.nz/assets/Uploads/Economic-survey-of-manufacturing/Economic-survey-of-manufacturing-March-2018-quarter/Download-data/economic-survey-of-manufacturing-march-2018-quarter.xlsx,,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Card Transactions,"These releases provide information on the number and value of electronic card transactions with New Zealand-based merchants. Data includes transactions using debit (eftpos) cards, credit, and charge cards. Transactions by overseas cardholders in New Zealand are included; transactions by New Zealand cardholders overseas are excluded. ",,https://creativecommons.org/licenses/by/4.0,"Charge Cards, Credit, Debit, Eftpos Cards",,11-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Electronic%20card%20transactions%2CInformation%20releases,Monthly,"Business, Economy, Industries, Retail and wholesale trade",2001/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/ba3649c2-07d8-4c34-a10f-659eb22d6d3e,Metadata,,,,,,,,,https://www.stats.govt.nz/infoshare/,Infoshare data tool,Select Subject category: Economic indicators and Group: Electronic card transactions (ANZSIC06) - ECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Economic Accounts,"Environmental-economic accounts explore how the environment and New Zealand economy interact. They measure the value and volume of many of New Zealand's natural resources, and identify which industries use them.",,https://creativecommons.org/licenses/by/4.0,"Air, Atmosphere and climate, Biodiversity, Economy, Energy, Environment, Fresh water, Government finance, Industries, Land, Marine, National accounts",27-02-2018,09-04-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Environmental-economic%20accounts%2CInformation%20releases,,Environment,1990/2016,,https://www.stats.govt.nz/assets/Uploads/Electronic-card-transactions/Electronic-card-transactions-November-2018/Download-data/electronic-card-transactions-nov-2018-csv-tables.zip,Metadata,,ZIP,107KB,,,,,,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/land-cover-stock-account-1996-2012.csv,Land cover stock account: 1996-2012 data,,CSV,72KB,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/marine-economy-2007-16.csv,Marine economy: 2007-16 data,,CSV,28KB,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/renewable-energy-stock-account-2007-16.csv,Renewable energy stock account: 2007-16 data,,CSV,28KB,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/timber-physical-stock-account-1995-2016-csv-tables-revised-9-april-2018.csv,Timber physical stock account: 1995-2016 data - revised 9 April 2018,CSV,511KB,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/water-physical-stock-account-1995-2016.csv,Water physical stock account: 1995-2016 data,CSV,332KB,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/water-physical-stock-account-livestock-2007-16.csv,Water physical stock account livestock: 2007-16 data,CSV,5.6KB,http://datainfoplus.stats.govt.nz/Item/example.org/c704343b-5d3b-4dad-97c7-555c6084f805,Metadata,,,No,,,
Environmental Protection Expenditure,This series was part of an annual investigation into environmental protection expenditure and its importance to the New Zealand economy. Environment protection expenditure (EPE) is an internationally recognised term used to describe all goods and services aimed at protecting the environment and encouraging the sustainable use of the earth’s natural resources. ,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,,,2000/2003,,https://www.stats.govt.nz/assets/Uploads/Environmental-economic-accounts-2018/Download-data/air-emissions-1990-2015-csv.csv,,,CSV,1021KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Price Index,These releases provide information on the rate of price change of food and food services purchased by households.,,https://creativecommons.org/licenses/by/4.0,"Consumers price index, Economy, Food price index, Households, Price indexes",13-07-2017,13-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Food%20price%20index%20%28FPI%29%2CInformation%20releases,Monthly,"Commerce, trade and industry",1975/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/749d8c27-1bed-45fb-b941-a1905aee632f,Metadata,,,,,,,,,https://www.stats.govt.nz/infoshare/,Infoshare data tool,"Select Subject category: Economic indicators, and Group: Consumers price index - CPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Geographic boundary data annual release,"The Stats NZ geographic data service provides geographic boundaries for 2018 as well as other recent years, and a selection of 2013 Census spatial data.",,https://creativecommons.org/licenses/by/4.0,"Census, Maori, Population",,06-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Geographic%20boundary%20data%20annual%20release%2CInformation%20releases,Annual,Population and society,,,https://datafinder.stats.govt.nz/layers/category/annual-boundaries/2019/?q=2019,,Data is available in geospatial format via Datafinder data service,,,"http://www.stats.govt.nz/infoshare/
",Infoshare data tool,Geographic units by industry and statistical area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goods and Services Trade by Country,These releases provide statistics on imports and exports of both goods and services by country. They present a comprehensive view of economic trade between New Zealand and our main trading partners,,https://creativecommons.org/licenses/by/4.0,"Country, Exports, Imports, Trading",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Goods%20and%20services%20trade%20by%20country%2CInformation%20releases,Quarterly,"Commerce, trade and industry",,,https://www.stats.govt.nz/assets/Uploads/New-Zealand-business-demography-statistics/New-Zealand-business-demography-statistics-At-February-2018/Download-data/geographic-units-by-industry-and-statistical-area-2000-18.zip,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/example.org/5559eb2b-8933-4cab-bca0-43d5b01b7b66,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Current Transactions,Government Current Transactions is a component of the Services item of New Zealand's Balance of Payments statement.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,,,,,https://www.stats.govt.nz/assets/Uploads/Goods-and-services-trade-by-country/Goods-and-services-trade-by-country-Year-ended-March-2018/Download-data/goods-and-services-trade-by-country-year-ended-march-2018-tables.xlsx,,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Finance Statistics (Central Government) ,Government finance statistics (GFS) is a set of concepts and principles developed by the International Monetary Fund (IMF) specifically for measuring government financial activity. It was discontinued in 2016. Content previously available in this release is now available in Government Finance Statistics (General Government),,https://creativecommons.org/licenses/by/4.0,"Central Government,  Financial,  Government,  Government Finance",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Annual,State sector performance,2009/2015,,,,,,,,,,CSV,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/7288fe70-9206-448b-9522-406f8f258ab0,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Finance Statistics (General Government),"Government Finance Statistics (GFS) is a set of concepts and principles developed by the International Monetary Fund (IMF) specifically for measuring government financial activity. General government includes both local and central government. Unlike accounting-based financial statements, GFS is an economic representation of a government's financial activity. ",,https://creativecommons.org/licenses/by/4.0,"Government Finance Statistics, Operating Statement, Balance Sheet, GFS, National Accounts, COFOG, Taxation, Financial Reporting, Government Analysis",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Government%20finance%20statistics%20%28general%20government%29%2CInformation%20releases,Annual,State sector performance,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/GovernmentFinanceStatisticsCentralGovernment/HOTPYeJun15/gfscg-yejun15-tables.xls,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f5d83be3-c55c-4343-a850-35a9009d9b5c,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product - quarterly,These releases provide three-month snapshots of the performance of the economy. For production and expenditure-based gross domestic product (GDP) the information is published as chain-volume measures expressed in 1995/96 prices. For expenditure-based GDP the information is also expressed in current prices.,,https://creativecommons.org/licenses/by/4.0,"Economy, Gross domestic product, Imports and exports, Industries, National accounts",15-07-2017,20-09-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Gross%20domestic%20product%20%28GDP%29%2CInformation%20releases,Quarterly,"Fiscal, tax and economics",1972-03/2018-06,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/9a9295f6-ce5f-4c71-8462-ba6dd01f4dc7,Metadata,,,,,,,,549KB,http://www.stats.govt.nz/infoshare/,Infoshare data tool,Select Subject category: Economic indicators and Group: National accounts - SNA 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Historical de facto population estimates,"De facto population estimates include all people present in New Zealand and counted by the census (census night population count). De facto estimates include visitors from overseas who are counted on census night, but exclude New Zealand residents who are temporarily overseas. The estimated de facto population at a given date after census includes births, deaths and net migration (arrivals less departures) of people during the period between census night and the given date. De facto population estimates are no longer produced.",,https://creativecommons.org/licenses/by/4.0,"Population and migration, De facto, Historical estimates, De facto, Historical, Estimates",31-03-1926,31-12-1995,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,http://archive.stats.govt.nz/browse_for_stats/population/estimates_and_projections/historical-population-tables.aspx,Quarterly,Population and society,1926/1995,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/bec27cc6-c9e2-4b7a-b1f4-cb5e096f91ad,Metadata,,,,http://archive.stats.govt.nz/~/media/Statistics/browse-categories/population/estimates-projections/national-pop-estimates/historical-pop-estimates.xlsx,Dataset,,,37KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Household Econmic Survey (Expenditure),"The Household Economic Survey (HES) is an annual survey that collects information on income, housing costs, material wellbeing and demographic information on households and individuals in New Zealand. There are three versions of the HES, including HES (Income), HES (Expenditure) and HES (Savings). The HES (Income) is the primary content and is collected every year, but combined with HES (Expenditure) and HES (Savings) alternately in the two years  in between the standalone HES every year. ",,https://creativecommons.org/licenses/by/4.0," Expenditure,  Fiscal,  Income,  open government,  tax and economics, Households",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Triennial,Population and society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Economic Survey ,"The Household Economic Survey (HES) is an annual survey that collects information on income, housing costs, material wellbeing and demographic information on households and individuals in New Zealand. There are three versions of the HES, including HES (Income), HES (Expenditure) and HES (Savings). The HES (Income) is the primary content and is collected every year, but combined with HES (Expenditure) and HES (Savings) alternately in the two years  in between the standalone HES every year. ",,https://creativecommons.org/licenses/by/4.0," Expenditure,  Fiscal,  Income,  open government,  tax and economics, Households",,26-11-2015,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Annual,Population and society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Economic Survey (Income),"The Household Economic Survey (HES) is an annual survey that collects information on income, housing costs, material wellbeing and demographic information on households and individuals in New Zealand. There are three versions of the HES, including HES (Income), HES (Expenditure) and HES (Savings). The HES (Income) is the primary content and is collected every year, but combined with HES (Expenditure) and HES (Savings) alternately in the two years  in between the standalone HES every year. ",,https://creativecommons.org/licenses/by/4.0," Expenditure,  Fiscal,  Income,  open government,  tax and economics, Households",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/insights?filters=Household%20economic%20survey%20%28income%29%2CInformation%20releases,Annual,Population and society,1973/2018,,http://datainfoplus.stats.govt.nz/item/nz.govt.stats/27d850c1-939c-4e93-b61c-a1b5196b7f27/248,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Economic Survey (Savings),"The Household Economic Survey (HES) is an annual survey that collects information on income, housing costs, material wellbeing and demographic information on households and individuals in New Zealand. There are three versions of the HES, including HES (Income), HES (Expenditure) and HES (Savings). The HES (Income) is the primary content and is collected every year, but combined with HES (Expenditure) and HES (Savings) alternately in the two years  in between the standalone HES every year. ",,https://creativecommons.org/licenses/by/4.0," Expenditure,  Fiscal,  Income,  Open Government,  Tax and Economics, Households",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Triennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Labour Force Survey ,"This Survey is used to produce official estimates of the numbers of employed and unemployed people, those not in the labour force, and the official unemployment rate for New Zealand",,https://creativecommons.org/licenses/by/4.0," Employee Turnover,  Employment,  Income,  Linked Employer Employee Data,  Productivity,  Worker Turnover,  Cafe and Restaurant Industry Employment,  Employee Turnover,  Open Government,  Total Employed, LEED",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Household%20labour%20force%20survey%20estimated%20working-age%20population%2CInformation%20releases,Quarterly or irregular?,Population and society,,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/b7c39358-aa03-446f-a27d-91c37caac35d,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Labour Force Survey Estimated Working-age Population,"This provides an estimate of the working-age population. The working age population includes the usually resident, non-institutionalised, population of New Zealand aged 15 years and over. It is based on 2013 Census data and is updated using early estimates of births, deaths, and net permanent and long-term migration. Results from the Household Labour Force Survey are usually summed to this figure.",,https://creativecommons.org/licenses/by/4.0,"Labour, Population, Working-Age",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Household%20labour%20force%20survey%20estimated%20working-age%20population%2CInformation%20releases,Quarterly,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/HouseholdLabourForceSurvey/HOTPSep14qtr/HouseholdLabourForceSurveySep14qtrHOTP.pdf,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/b7c39358-aa03-446f-a27d-91c37caac35d,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Living-costs Price Indexes,"These releases provide information on the rate of price change for goods and services purchased by select household groups, providing a measure of inflation for sub-sections of the population.
",,https://creativecommons.org/licenses/by/4.0,"Consumers price index, Economy, Households, Maori, Older people, Price indexes",27-07-2017,26-10-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Household%20living-costs%20price%20indexes%2CInformation%20releases,Quarterly,"Fiscal, tax and economics",2008--06/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/a46a6353-947a-4062-89e7-c6faef4fece1,Metadata,,,,,,,,,https://www.stats.govt.nz/assets/Uploads/Household-living-costs-price-indexes/Household-living-costs-price-indexes-September-2018-quarter/Download-data/household-living-costs-price-indexes-sep18qtr-group-facts.csv,Group facts data - September 2018,,CSV,5.5KB,https://www.stats.govt.nz/assets/Uploads/Household-living-costs-price-indexes/Household-living-costs-price-indexes-September-2018-quarter/Download-data/household-living-costs-price-indexes-sep18qtr-time-series-indexes.csv,Time series indexes - September 2018,,CSV,3.8MB,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/a46a6353-947a-4062-89e7-c6faef4fece1,Metadata,,,,,,,,,,,,,,,,,,,,,,,
Household Net Worth Statistics,"Household net worth statistics give a picture of the net worth (wealth) of New Zealanders, by looking at their household assets - financial and non-financial - and their liabilities.",,https://creativecommons.org/licenses/by/4.0,"Economy, Ethnicity, Gender and sex, Households, Income, Maori, Older people, Society",,14-12-2018,Stats NZ,info@stats.govt.nz,InfoCentre,,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Household%20net%20worth%20statistics%2CInformation%20releases,Triennial,Population and society,2015/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f98d411f-4903-477a-b7ce-ffc70e85b378,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Human Resources Capability (HRC) Survey,"The Human Resource Capability data collection is run annually and collects anonymous information about Public Service department employees, including staff numbers, pay, senior leaders, diversity and workplace wellbeing. The results provides trends and insights across the Public Service workforce. The results can be drawn on to monitor, plan and address present and future workforce issues at department and system levels.",,https://creativecommons.org/licenses/by/4.0,,,,State Services Commission,commission@ssc.govt.nz ,State Services Commission,64 4 495 6600,,,Annual,State sector performance,,,https://www.stats.govt.nz/assets/Uploads/Household-net-worth-statistics/Household-net-worth-statistics-Year-ended-June-2018/Download-data/household-net-worth-statistics-year-ended-june-2018-csv.zip,,,ZIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information and Communication Technology Supply Survey,"The Information and Communication Technology (ICT) Supply Survey measures the sale of goods and services from businesses associated with ICT industries. 

The ICT Supply Survey replaced the previous Stats NZ Information Technology (IT) Survey which ran from 1993 to 2004. The ICT Supply Survey was last run in 2017. There is currently no commitment to run this survey again.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Information%20and%20communication%20technology%20supply%20survey%2CInformation%20releases,Biennial,,2006-2017,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/6bde227c-1bc8-4db6-a937-4cbb2e4e26a6,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Statistics - Work-related Claims,"These statistics provide information on claims accepted by Accident Compensation Corporation (ACC) for work-related injuries. This data is used for monitoring work-related injuries, and developing policy on reducing work-related injuries.",,https://creativecommons.org/licenses/by/4.0,"Claims, Injury, Work-Related",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Injury%20statistics%20%E2%80%93%20work-related%20claims%2CInformation%20releases,Annual,Injury,,,https://www.stats.govt.nz/assets/Uploads/Information-and-communication-technology-supply-survey/Information-and-communication-technology-supply-survey-2017/Download-data/information-and-communication-technology-supply-survey-2017.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/3c423d2b-5e5a-4c83-b5de-e1cd166c5b12,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Trade in Services and Royalties Survey,This survey is used to calculate New Zealand's imports and exports of services from other countries. ,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Quarterly,,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/InjuryStatistics/HOTP16/InjuryStatistics16HOTP.pdf,,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Travel and Migration,"International travel and migration statistics measure the number and characteristics of international arrivals into New Zealand, and international departures from New Zealand.",,https://creativecommons.org/licenses/by/4.0,"Tourism, Migration, Population, Migrants, Immigration, Immigrants, Emigration, Emigrants, Tourists, Visitors, Travel, Travellers, Arrivals, Departures",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=International%20travel%20and%20migration%2CInformation%20releases,Monthly,Population and society,,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f705ca38-ea6e-453f-b1d9-a95dc0fcaf59,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Visitor Arrivals to New Zealand,International visitor arrivals to New Zealand provides monthly and annual data showing the number and characteristics of visitor arrivals.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=International%20visitor%20arrivals%20to%20New%20Zealand%2CInformation%20releases,Monthly,Population and society,,,https://www.stats.govt.nz/assets/Uploads/International-travel-and-migration/International-travel-and-migration-April-2018/Download-data/international-travel-and-migration-april-2018-tables.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet Service Providers Survey,"These releases provide information on numbers of Internet subscribers, Internet connection technology, spam, content and virus filtering, and barriers to internet service provider (ISP) growth in New Zealand. 

The ISP Survey has been conducted annually since 2009. Prior to that it was conducted six-monthly.",,https://creativecommons.org/licenses/by/4.0," ICT,  ISPs,  Information and Communications Technology,  Internet Service Provider,  Internet Service Providers,  Science and research,  Open Government, ISP",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Internet%20service%20provider%20survey%2CInformation%20releases,Annual,Infrastructure,,,https://www.stats.govt.nz/assets/Uploads/International-visitor-arrivals-to-New-Zealand/International-visitor-arrivals-to-New-Zealand-April-2018/Download-data/international-visitor-arrivals-to-new-zealand-april-2018-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/bc2825ec-02db-4a69-bf53-47c87f4801cb,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour Market Statistics,"The Labour Market Statistics quarterly information release provides New Zealand's official employment and unemployment statistics and wage and salary information. They contain information previously published in the Household Labour Force Survey, Quarterly Employment Survey, and Labour Cost Index (Salary and Wage Rates) releases.",,https://creativecommons.org/licenses/by/4.0,"Employment, Salary, Unemployment, Wage",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Labour%20market%20statistics%2CInformation%20releases,Quarterly,Population and Society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/ISPSurvey/HOTP2016/isp16-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/example.org/438dbf04-3b3f-446a-b575-2f2df7d6531f,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour Market Statistics (Income),,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Labour%20market%20statistics%20%28income%29%2CInformation%20releases,Annual,,,,https://www.stats.govt.nz/assets/Uploads/Labour-market-statistics/Labour-market-statistics-March-2018-quarter/Download-data/household-labour-force-survey-march-2018-quarter-tables.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linked Employee-Employer Data,"These releases provide statistics on filled jobs, job flows, worker flows, mean and median earnings for continuing jobs and new hires, and total earnings.",,https://creativecommons.org/licenses/by/4.0," Age,  Firm Size,  Industry,  Region,  Sector,  Sex,  Territorial Authority, LEED",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Linked%20employer-employee%20data%20%28LEED%29%2CInformation%20releases,Quarterly,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
